Transcription Start	Translation Start	Translation Stop	Transcription Stop	Strand	Name	Synonym	Product	Expression WT	Expression A	Expression B	Expression C	qValue WT vs A	qValue WT vs B	qValue WT vs C	qValue A vs B	qValue A vs C	qValue B vs C
	1869871	1870995		+	yeaW	b1802	putative transport; Not classified	9	2	7	1	8.336222537016379E-43	1.0	3.056348814373314E-30	3.3173228179218845E-24	0.8927295830410061	6.583342479583057E-17
	1871051	1872016		+	yeaX	b1803	putative enzyme; Not classified	12	6	11	6	8.849887997384118E-25	1.0	3.555657238495312E-7	6.626332658586217E-21	0.00425794861408037	3.991319105721948E-6
	1873197	1872070		-	rnd	b1804	enzyme; Degradation of RNA	42	30	36	28	1.1767129103351038E-15	1.0	3.174769500531949E-7	1.5441254703976034E-10	0.15848630054525956	1.0653809249459883E-4
	1874952	1873267	1873267	-	fadD	b1805	enzyme; Degradation of small molecules: Fatty acids	32	23	32	32	1.5971291415283594E-16	1.0	0.026266043942762756	1.411914572136067E-16	2.295958514658797E-10	0.04043704569981937
1875750	1875738	1875157	1875100	-	yeaY	b1806	putative membrane; Not classified	205	215	178	170	0.020537109222918112	1.0	0.05022764631749564	0.21416783319684374	0.8947653438644386	0.28456287431015476
	1876473	1875778		-	tsaB	b1807	enzyme; tRNA modification	86	81	86	63	6.496696568644039E-7	1.0	8.346765858422039E-6	1.0678656712085351E-6	0.6491733289992014	1.5246926029373836E-5
	1878441	1876531		-	yoaA	b1808	putative enzyme; Not classified	35	27	32	20	1.1397413951739592E-11	1.0	9.666939087131073E-11	2.7985009805099974E-9	0.3778844223616331	1.891449120421502E-8
	1878573	1878917		+	yoaB	b1809	putative enzyme; Not classified	113	101	90	93	6.550606669565836E-10	1.0	1.543730105755197E-4	1.0586622990945117E-5	0.12293378327092316	0.012103165974191659
1879233	1879339	1879638	1879757	+	yoaC	b1810	putative enzyme; Not classified	166	199	164	145	0.0015086461936127723	1.0	6.387109795210195E-4	0.00670901748347609	0.2415087119936586	0.002430811072491342
	1879937	1879758		-	yoaH	b1811	putative enzyme; Not classified	59	60	81	53	9.597558445585088E-8	1.0	0.0013497601615279266	3.9663006534239665E-14	0.11095709969228622	7.7338121244885E-6
	1880011	1881372		+	pabB	b1812	enzyme; Biosynthesis of cofactors, carriers: Folic acid	19	13	23	14	2.4287712698751533E-15	1.0	1.0207114128001582E-5	3.497064632742961E-21	0.011701396399721233	3.2826959119507975E-7
	1881376	1881954		+	nudL	b1813	enzyme; Biosynthesis of cofactors, carriers: Folic acid	28	24	30	21	2.7575150143589147E-10	1.0	1.157544563757873E-4	2.8734979533322486E-11	0.1328643319664374	8.416518371322437E-5
1882078	1882138	1883502	1883510	+	sdaA	b1814	enzyme; Degradation of small molecules: Amino acids	194	197	237	234	0.004725305348035526	0.1557131051711879	0.4077910187416282	5.262612392542974E-9	5.13430015400827E-5	0.09360090675579784
	1883633	1885231		+	yoaD	b1815	enzyme; Degradation of small molecules: Amino acids	40	40	44	42	3.3994907940474344E-5	1.0	0.1201223053426079	1.153385231584952E-6	0.012002294432067897	0.04314605392538397
	1886791	1885235		-	yoaE	b1816	putative transport; Not classified	62	56	66	66	2.7222168081959004E-5	1.0	0.9124732141880224	2.028961279198512E-7	1.2702267755692963E-5	0.5241226107304373
1887233	1887254	1888225	1888287	+	manX	b1817	enzyme; Transport of small molecules: Carbohydrates, organic acids, alcohols	255	183	198	183	4.427355159953693E-13	0.1742703088087844	1.2517093527079424E-5	8.410929664263573E-5	0.07472855877666	0.08839967593046363
1888288	1888288	1889088	1889100	+	manY	b1818	transport; Transport of small molecules: Carbohydrates, organic acids, alcohols	300	220	195	217	2.685525519417313E-12	5.455825763553279E-4	1.1333773076457859E-5	0.12835660015275957	0.11513876616765797	0.9539071643644552
1889101	1889101	1889952	1889961	+	manZ	b1819	transport; Transport of small molecules: Carbohydrates, organic acids, alcohols	323	228	210	243	3.108766039192621E-13	5.630436259108083E-4	4.5783681709914023E-4	0.06832370031411578	0.007299762955652454	0.48642794121134086
	1890007	1890465		+	yobD	b1820	transport; Transport of small molecules: Carbohydrates, organic acids, alcohols	18	10	12	7	1.794228157718407E-15	1.0	3.640613553690361E-10	1.1276480502738773E-6	0.8893656401039298	1.9023299113040675E-4
	1890894	1891460		+	mntP	b1821	putative transport; Not classified	12	5	15	8	2.5539334855382885E-15	1.0	6.669744785881712E-4	2.4152025386893152E-24	2.589081146529533E-4	1.521508262315932E-5
	1892266	1891457		-	rlmA	b1822	enzyme; rRNA modification	48	41	40	34	2.747514234880445E-10	1.0	7.352636055939752E-6	1.1624443226613872E-6	0.5742270190446782	8.413851575166305E-4
1892653	1892641	1892432	1892392	-	cspC	b1823	phenotype; Not classified	2223	2060	1817	1857	1.1049254388385654E-4	0.8824732499505603	0.021765604659631645	0.04656013905480991	0.3658352434327339	0.4209762676520965
1892880	1892797	1892654	1892654	-	yobF	b1824	phenotype; Not classified	2016	2043	1780	1561	0.008592009709167734	1.0	7.245851789836885E-4	0.09629945164820725	0.20856123015492115	0.013783338895227676
	1893754	1893467		-	yebO	b1825	phenotype; Not classified	88	119	100	92	2.6232033404097627E-4	1.0	0.0056157735002115945	6.994696634360785E-5	0.893232497039778	0.003155137102630761
1893989	1893972	1893829	1893755	-	mgrB	b1826	regulator	84	167	123	139	0.0567563931871762	1.0	0.15584012846857945	0.002427847397058971	0.677457227859228	0.028928669451255724
	1894131	1894370		+	yobH	b4536	regulator	30	35	52	37	8.599492892822704E-6	1.0	0.024020933751007324	6.520063399165604E-16	0.0023378595017520512	7.335323828768308E-5
	1895305	1894514		-	kdgR	b1827	putative regulator; Not classified	75	77	88	83	4.653692423884093E-5	1.0	0.17653977651541494	1.5456883546876542E-7	0.004170223072830488	0.03791078048891749
	1895482	1896855		+	yebQ	b1828	putative transport; Not classified	15	9	14	6	1.1124850174155117E-22	1.0	4.6541833571143015E-15	1.2591624071137067E-16	0.844036471745012	6.523105648297268E-11
1897789	1897782	1896901	1896895	-	htpX	b1829	orf; Adaptations, atypical conditions	291	346	335	447	0.4808809559444871	0.4231040635434128	3.489449399465477E-4	0.0027598031911728	2.988385663924337E-7	0.20979032058123928
1900022	1900022	1897974		-	prc	b1830	enzyme; Degradation of proteins, peptides, glyco	114	94	88	96	2.3311179568957183E-7	0.1557131051711879	0.02042848352937902	0.039232601293782636	0.031087610712943074	0.9086390450011564
1900764	1900740	1900042	1900023	-	proQ	b1831	enzyme; Degradation of proteins, peptides, glyco	324	294	284	293	6.680331125463517E-5	0.9484943662677201	0.11782264578312406	0.013407712241430562	0.05546305558408973	0.7126875620128864
	1901334	1900837		-	msrC	b1832	enzyme; Degradation of proteins, peptides, glyco	99	109	101	89	6.824872063241099E-5	1.0	0.0014954926297149603	1.4539408654510574E-4	0.9655439655697213	0.0027542712018400195
	1901464	1902747		+	yebS	b1833	enzyme; Degradation of proteins, peptides, glyco	45	68	60	65	0.5743407031039096	0.994739455228935	0.5882605579024175	0.023332748810205806	0.13344609958979167	0.5311737862198186
	1902716	1905349		+	yebT	b1834	enzyme; Degradation of proteins, peptides, glyco	43	50	55	55	0.28475101137916947	0.06823734190076958	0.06573621818677308	5.982679902565467E-6	8.472254574094561E-4	0.33104630676301494
1905429	1905429	1906868		+	rsmF	b1835	enzyme; rRNA modification	30	26	26	15	6.745905609603516E-11	1.0	1.6221981602916937E-10	1.1463308126123163E-7	0.0911654662843341	1.7335511443441252E-7
1906946	1906986	1907222	1907222	+	yebV	b1836	enzyme; rRNA modification	1371	2169	2296	2071	0.03282618889801059	1.1296509546045314E-5	0.0035102652223484975	4.0902631213806215E-5	0.20128277199689965	0.020913777496244543
1907223	1907327	1907518		+	yebW	b1837	enzyme; rRNA modification	296	297	317	225	7.117962558942741E-6	1.0	2.1135845593078858E-5	1.1619737053532422E-6	0.4710554907365746	5.476140755715082E-6
	1908175	1907519		-	pphA	b1838	regulator; Not classified	120	136	142	99	0.023102746905574217	0.932844760071388	0.002608509504789539	6.698019665696866E-5	0.16634128716561586	7.242735143677903E-6
1908272			1908520	+	ryeA	b4432	-	79	120	153	101	0.0031257242056628334	1.0	0.03700308491970412	7.21321728010773E-11	0.5520989068967703	4.667321067536988E-6
1908490			1908370	-	ryeB	b4433	-	74	110	146	96	9.003150758168151E-4	1.0	0.037897663838124436	7.14460696635186E-13	0.16853592576026905	1.4792620255615712E-5
	1908912	1908571		-	yebY	b1839	regulator; Not classified	72	63	66	49	1.1117823450541112E-8	1.0	2.4460214076870053E-6	7.319789674667902E-7	0.9289564506027366	5.632946904754244E-5
1909797	1909797	1908925		-	yebZ	b1840	putative transport; Drug/analog sensitivity	93	84	84	68	5.794422483965999E-6	1.0	1.1637800700467486E-4	2.5306709042883065E-4	0.8986899543300796	0.002002563358043724
1910206	1910175	1909801	1909798	-	yobA	b1841	putative transport; Drug/analog sensitivity	179	179	167	151	5.3819122198060475E-5	1.0	0.003380915389605572	4.4710915024999317E-4	0.7231539577996654	0.012512005676000032
	1910314	1910544		+	holE	b1842	enzyme; DNA - replication, repair, restriction/modification	48	58	64	46	2.1056605751346283E-5	1.0	0.00267033659789978	1.0076062282253396E-8	0.5948924469367188	7.345949715430811E-5
	1910646	1911302	1911302	+	yobB	b1843	enzyme; DNA - replication, repair, restriction/modification	55	64	73	75	2.3569427784467938E-5	1.0	0.2829820857807941	1.1657327235868927E-9	1.7311311369374753E-5	0.0586503831522549
	1911326	1911988		+	exoX	b1844	enzyme; DNA - replication, repair, restriction/modification	68	68	70	66	4.400214078209354E-7	1.0	0.0049981457330492245	4.870300130536379E-7	0.0615403971328633	0.007552063872289445
1914045	1914045	1911985		-	ptrB	b1845	enzyme; Degradation of proteins, peptides, glyco	60	58	65	65	0.0011875896625029752	0.8753470563251916	0.7068833527663648	1.9488444976602523E-6	2.451186294741225E-4	0.3774643138058943
	1914913	1914254		-	yebE	b1846	enzyme; Degradation of proteins, peptides, glyco	60	74	64	75	4.30343564965325E-4	1.0	0.16726978874876788	3.843844479069652E-4	0.015062437960887978	0.21572508608980975
1915596	1915596	1915240	1915208	-	yebF	b1847	enzyme; Degradation of proteins, peptides, glyco	419	532	599	548	0.5167792579863459	3.7721348268097824E-4	0.009407534121606472	1.1584702837007779E-5	0.023645744735247276	0.10341596394146624
1915959	1915953	1915663	1915636	-	yebG	b1848	enzyme; Degradation of proteins, peptides, glyco	162	208	256	268	0.007252453094261577	0.7821022397832392	0.507278382618317	1.77089484950471E-9	2.759027238052136E-7	0.28683287856158657
	1916087	1917265		+	purT	b1849	enzyme; Purine ribonucleotide biosynthesis	31	22	18	12	5.55390756983929E-14	0.9531717139298949	3.993330384400623E-17	2.0158975248508207E-4	0.025506712546597643	2.010149904596043E-5
	1917962	1917321		-	eda	b1850	enzyme; Central intermediary metabolism: Entner-Douderoff	170	176	136	132	0.007328405964446396	0.8923228411998155	0.0030431248055443234	0.39323570471471553	0.3813683970957182	0.1693046101603087
	1919810	1917999	1917999	-	edd	b1851	enzyme; Central intermediary metabolism: Entner-Douderoff	30	24	26	19	3.918715548102408E-12	1.0	1.1815652520909346E-8	6.299776819054788E-8	0.9154310250647026	1.2992630440382348E-5
	1921520	1920045		-	zwf	b1852	enzyme; Energy metabolism, carbon: Oxidative branch, pentose pathway	105	98	78	87	4.8504864106974154E-5	0.17287988396672696	0.01766812021604703	0.39341042044444985	0.3577347519208657	0.9324284767366774
	1921858	1922727		+	yebK	b1853	enzyme; Energy metabolism, carbon: Oxidative branch, pentose pathway	41	36	39	34	3.366612300839771E-9	1.0	3.1436725636903957E-4	6.870842192682147E-8	0.10173357454951641	0.0017263609302306758
1922839	1922855	1924297	1924397	+	pykA	b1854	enzyme; Energy metabolism, carbon: Glycolysis	214	213	180	225	0.0044665258586598835	0.994739455228935	0.6908126797755203	0.16438254175451378	0.020103867166713064	0.519691554131269
	1925399	1924428		-	waaN	b1855	putative factor; Adaptations, atypical conditions	67	63	81	74	3.6204920340500084E-6	1.0	0.28521477332274	8.062153900057362E-11	1.2514703728125546E-4	0.024023650105612512
	1926841	1925519		-	yebA	b1856	putative factor; Adaptations, atypical conditions	109	97	97	86	6.563621713923191E-6	1.0	0.009399839686528945	6.173629634818989E-4	0.2975338724467122	0.07547613403557195
	1927789	1926857	1926857	-	znuA	b1857	putative factor; Not classified	60	63	66	38	7.626467119232619E-5	1.0	3.00209846460823E-8	6.460804359704181E-6	0.002196128240635518	6.557476767432656E-10
	1927868	1928623		+	znuC	b1858	putative transport; Not classified	53	43	47	26	1.6451111472385393E-11	1.0	9.342379484107118E-12	1.6619907026033167E-8	0.0734308755514525	1.0469795541506217E-8
	1928620	1929405		+	znuB	b1859	putative transport; Not classified	31	24	35	23	1.1158164096135805E-10	1.0	1.9682496946637597E-5	3.6466373017890816E-13	0.17975783661679767	2.890966506232302E-6
	1930562	1929552		-	ruvB	b1860	enzyme; DNA - replication, repair, restriction/modification	49	44	63	66	2.8318668421850253E-9	1.0	0.5702268131248723	1.072533403158875E-16	1.7502859160105415E-13	0.13065005253187428
	1931182	1930571	1930571	-	ruvA	b1861	enzyme; DNA - replication, repair, restriction/modification	54	45	53	57	1.4645052168619222E-9	1.0	0.006243766089853591	1.4459667823435605E-8	1.2481262637540876E-4	0.02011261199492432
	1931386	1931321		-	yobI	b4677	enzyme; DNA - replication, repair, restriction/modification	2	0	6	0	7.655219364752256E-29	0.07591858069297101	2.0811584113911544E-73	6.359080434042604E-169	1.0	0.0
	1931457	1932059		+	yebB	b1862	enzyme; DNA - replication, repair, restriction/modification	9	3	9	2	1.0812825841317901E-17	1.0	9.156478540061202E-14	4.874182402421432E-18	0.632187751322937	6.966822603944052E-14
1932582	1932582	1932061	1932061	-	ruvC	b1863	enzyme; DNA - replication, repair, restriction/modification	127	107	155	141	3.7916639881966204E-9	1.0	0.3495074949093478	8.532147070630559E-16	3.868049287463056E-8	0.03067938630636007
1933357	1933357	1932617	1932594	-	yebC	b1864	enzyme; DNA - replication, repair, restriction/modification	273	232	338	333	5.500727194081286E-7	0.1253642969748844	0.28915196775927865	6.890645138933919E-17	6.396384417937065E-12	0.12557114480619383
1933895	1933838	1933386	1933358	-	nudB	b1865	enzyme; folate metabolism	245	217	293	283	1.5548452948668433E-6	0.28697323465018604	0.3679567416544832	2.4962159682856728E-14	6.542520628517371E-10	0.2407337573062272
1935795	1935728	1933956	1933914	-	aspS	b1866	enzyme; Aminoacyl tRNA synthetases, tRNA modification	281	289	313	361	0.00399585871197858	0.9486146858152701	0.756728235385034	1.4702007373428139E-5	1.3539010861315993E-4	0.33224995850013794
	1936038	1936604		+	yecD	b1867	enzyme; Aminoacyl tRNA synthetases, tRNA modification	101	135	120	133	0.09163921036072263	1.0	0.7921963539000481	0.010174028857867182	0.10275768598068978	0.39945337275257614
	1936601	1937419		+	yecE	b1868	enzyme; Aminoacyl tRNA synthetases, tRNA modification	34	35	39	32	1.2338324967568723E-6	1.0	0.0010815863405076614	7.785436734490415E-8	0.30504017304855774	4.690042595711586E-4
	1937472	1937867		+	yecN	b1869	enzyme; Aminoacyl tRNA synthetases, tRNA modification	114	131	143	124	1.204178365436397E-4	1.0	0.049715002556344534	1.1740931789595748E-7	0.08809895830211277	0.0038850546980700707
	1937908	1938651		+	cmoA	b1870	enzyme; tRNA modification	52	48	53	38	2.9516555885422903E-9	1.0	1.633307521827572E-5	5.630476497639244E-9	0.7154956239462771	3.632802125918848E-5
	1938648	1939619		+	cmoB	b1871	enzyme; tRNA modification	54	47	59	57	7.164011771652675E-10	1.0	0.056674440132535454	1.2655350060541516E-11	4.775806387001721E-6	0.035829603930332764
	1942213	1939784		-	torZ	b1872	enzyme; Central intermediary metabolism	13	6	14	9	1.4648563531379019E-29	1.0	3.9182313488550415E-6	2.3231520456689618E-35	7.880234227497041E-7	1.0934047966277736E-6
	1943338	1942238		-	torY	b1873	putative enzyme; Not classified	7	1	5	1	1.8026259224711446E-89	1.0	1.843041086569105E-17	2.912051129478898E-53	0.005592412342486749	1.364446101508067E-10
1944485	1944472	1943726	1943671	-	cutC	b1874	putative transport; Detoxification	192	237	294	200	0.8336479458481798	9.717544667400161E-6	0.8781038982877087	7.40824765666277E-9	0.7303058331877541	1.032747098013282E-7
	1945052	1944486		-	yecM	b1875	putative transport; Detoxification	49	37	35	24	2.5746936875426546E-11	1.0	3.539387179861875E-10	1.084392709402975E-5	0.2926937482482344	3.642031892248113E-5
	1945268	1947001		+	argS	b1876	enzyme; Aminoacyl tRNA synthetases, tRNA modification	87	78	78	76	1.3621155112906312E-5	1.0	0.08409479329460949	6.700781206377987E-4	0.04525357261648492	0.2947219372112132
	1947178	1947666		+	yecT	b1877	enzyme; Aminoacyl tRNA synthetases, tRNA modification	6	2	5	2	2.7967857188536483E-19	1.0	1.5654950959067977E-6	1.306841206584477E-13	0.28110474481197073	8.851152563835917E-5
	1948178	1947786		-	flhE	b1878	structural component; Surface structures	6	2	6	2	1.5801997505835033E-29	1.0	3.145248856239882E-6	1.1225817832998513E-34	0.06293985884522092	5.038630852825946E-7
	1950256	1948178		-	flhA	b1879	structural component; Surface structures	12	6	13	8	4.957462987763356E-36	1.0	6.300681843772346E-7	5.758004673713285E-42	1.4186900178380058E-7	1.7799568197009334E-7
	1951397	1950249		-	flhB	b1880	structural component; Not classified	8	1	6	2	2.84493185705837E-71	1.0	1.0037246256354869E-14	5.498483354453017E-39	0.0012533573005176315	2.234700802453419E-8
	1952243	1951599		-	cheZ	b1881	regulator; Chemotaxis and mobility	14	7	13	11	7.639984214637264E-18	1.0	0.0010007581954244221	7.801081435680725E-18	1.6429497685472027E-7	0.001138894688325029
	1952643	1952254		-	cheY	b1882	regulator; Chemotaxis and mobility	12	5	9	11	4.3002088963044456E-17	1.0	0.012179475039066015	3.3029841770176094E-8	2.9304665454604786E-10	0.15207009707776023
	1953707	1952658		-	cheB	b1883	enzyme; Chemotaxis and mobility	7	1	7	1	8.205654358407915E-75	1.0	2.0765627563655932E-20	7.200047463352544E-72	0.05513566967585283	1.71123007044459E-19
	1954570	1953710		-	cheR	b1884	enzyme; Chemotaxis and mobility	9	3	9	3	3.8835245066174055E-24	1.0	1.292602544171239E-10	6.064674090597224E-25	0.2549549830717673	8.606870698389316E-11
	1956190	1954589		-	tap	b1885	regulator; Chemotaxis and mobility	8	1	8	2	1.61792594923443E-91	1.0	5.397008352867077E-19	1.022257709016231E-103	9.920384961505564E-4	2.611804361004008E-21
	1957897	1956236		-	tar	b1886	regulator; Chemotaxis and mobility	7	1	7	1	3.823945807549838E-179	1.0	2.04488504711533E-51	1.0092802770873318E-178	0.07491588094486994	3.7142429733745606E-51
	1958545	1958042		-	cheW	b1887	regulator; Chemotaxis and mobility	10	4	8	3	1.8124681867886447E-15	1.0	5.9870021660019926E-9	1.942447538953775E-11	0.8599151837572577	1.3456441628199264E-6
	1960530	1958566		-	cheA	b1888	enzyme; Chemotaxis and mobility	8	2	7	2	7.90430804692164E-99	1.0	1.3438907525687256E-22	2.5337561889167173E-77	0.0015319221378463537	1.062574095167718E-17
	1961461	1960535		-	motB	b1889	structural component; Chemotaxis and mobility	9	3	8	3	3.9306626820802136E-27	1.0	1.6921465250031794E-10	2.717416118620408E-25	0.12683746987049874	1.0886294345417066E-9
	1962345	1961458		-	motA	b1890	phenotype; Chemotaxis and mobility	8	2	7	2	3.522980060443184E-52	1.0	6.864831786293141E-14	1.7629851231516519E-38	0.026776741484579564	2.55397780940321E-10
	1963050	1962472		-	flhC	b1891	regulator; Surface structures	14	9	17	11	7.163109699923897E-14	1.0	5.150642966507727E-4	1.7227217125162284E-19	6.929117610020584E-4	3.245376458058259E-5
	1963403	1963053		-	flhD	b1892	regulator; Surface structures	10	6	12	8	3.2412082665800996E-8	1.0	0.019042781815002772	7.845293584223253E-12	5.301778256453199E-4	0.003925348008068068
	1964227	1963724		-	insB1	b1893	IS, phage, Tn; Transposon-related functions; extrachromosomal; transposon related	25	27	48	33	1.6924541017070317E-6	1.0	0.02829891491494661	3.8693686107219045E-23	8.022218713659244E-5	9.017185366694813E-6
	1964421	1964146		-	insA	b1894	IS, phage, Tn; Transposon-related functions; extrachromosomal; transposon related	16	13	26	20	1.2053318593170181E-5	1.0	0.06805060803663934	1.7443835410527936E-14	1.823909518000734E-5	0.001781303320645047
	1964959	1965387	1965387	+	uspC	b1895	putative regulator; Not classified	84	84	108	95	7.899393098101966E-8	1.0	0.023314045647551445	7.323298000498336E-13	3.121530083166751E-4	0.0018179029709880859
	1966818	1965394	1965388	-	otsA	b1896	enzyme; Osmotic adaptation	377	493	612	589	0.4326687542204069	0.002138841146858074	0.16905594153624648	1.458429005706197E-9	0.0043459797314603634	0.001030692570647593
1967603	1967593	1966793		-	otsB	b1897	enzyme; Osmotic adaptation	500	711	819	756	0.5303110098052225	1.295892584043793E-4	0.022662892271636755	3.531661232473964E-7	0.036448572175844865	0.007399912557143399
	1968746	1967760		-	araH	b4460	transport; Transport of small molecules: Carbohydrates, organic acids, alcohols	29	31	36	29	1.7732145544226534E-6	1.0	0.00268151921291843	4.1890649671905224E-9	0.16158163967856556	3.3820931454864306E-4
	1970275	1968761		-	araG	b1900	transport; Transport of small molecules: Carbohydrates, organic acids, alcohols	13	13	21	15	2.1988188239526695E-7	1.0	0.010149184809265242	4.3711521299192266E-17	0.0014222317829374052	4.222158701691222E-5
	1971334	1970345		-	araF	b1901	transport; Transport of small molecules: Carbohydrates, organic acids, alcohols	11	9	21	23	9.619945694618065E-11	1.0	0.4892938309102407	5.945389325833912E-43	1.2248086954247505E-47	0.027152928033220943
	1972131	1972634		+	ftnB	b1902	putative carrier; Transport of small molecules:Cations	61	96	90	90	0.014095893014992074	1.0	0.23893778056706316	4.180719976046641E-5	0.12071892148684384	0.030246814568992166
	1972964	1972713		-	yecJ	b4537	putative carrier; Transport of small molecules:Cations	29	25	31	25	3.533854546330735E-8	1.0	0.003261670018614602	1.5348562329982158E-9	0.02381459387304623	0.0013022252122572172
	1973165	1973079		-	azuC	b4663	putative carrier; Transport of small molecules:Cations	42	58	83	36	0.0038896626025690393	0.9235308902341433	0.013247781554509348	2.687885592103468E-10	0.45202827660963113	5.402617942119286E-8
	1973428	1973751		+	yecR	b1904	putative carrier; Transport of small molecules:Cations	9	4	7	6	1.5128436155916836E-16	1.0	0.004480310064056119	2.7981185637542035E-9	5.573179204513852E-5	0.00906297768398555
	1973922	1974419		+	ftnA	b1905	carrier; Transport of small molecules: Cations	58	38	44	42	4.704604947583864E-15	1.0	2.1334591594039828E-5	1.996304269965974E-8	0.006429107754793663	0.004581165689452671
	1974696	1974457		-	yecH	b1906	carrier; Transport of small molecules: Cations	74	86	95	101	4.6110240370407535E-5	1.0	0.06080964149444455	1.0077866141721932E-7	8.864441381215211E-4	0.017113062875773535
	1974887	1976098		+	tyrP	b1907	transport; Transport of small molecules: Amino acids, amines	56	48	43	37	6.455692924211703E-8	0.9842487796320103	1.413424741111509E-6	0.0010751098564727006	0.6730679523913341	0.0030796136727020825
1976832	1976825	1976160	1976159	-	yecA	b1908	transport; Transport of small molecules: Amino acids, amines	341	328	283	294	5.394142432085193E-4	0.5424882608384768	0.037204986905804704	0.20753699634577902	0.43711471651826506	0.7646035687045902
1977107			1977021	-	leuZ	b1909	Leu tRNA	130	153	226	220	9.09615486629641E-6	1.0	0.15872014764967893	2.6454307518020807E-16	2.080771635723837E-9	0.005329554683716426
1977193			1977120	-	cysT	b1910	Cys tRNA	249	289	419	406	4.5400596744146806E-5	1.0	0.186510333654185	1.8321477881305192E-13	6.315943341532867E-7	0.0059641294888216935
1977323			1977248	-	glyW	b1911	Gly tRNA	269	328	502	464	1.3721523829095434E-4	1.0	0.2596869977888005	4.459742900271903E-15	6.307566434711629E-7	0.0030403940219894316
1978057	1978023	1977475	1977324	-	pgsA	b1912	enzyme; Macromolecule synthesis, modification: Phospholipids	156	157	164	192	0.0010366380711912934	1.0	0.35837284813652326	8.992082593565748E-5	1.8934441067270317E-6	0.6828767772735372
	1979912	1978080		-	uvrC	b1913	enzyme; Degradation of DNA	52	42	53	54	6.561798097994027E-8	1.0	0.8649751035604485	2.1300471076910033E-9	1.6367892646851723E-7	0.5149447968817704
	1980565	1979909		-	uvrY	b1914	putative regulator; Not classified	77	84	103	90	6.487566062503917E-5	1.0	0.1854887453000021	4.910074671690682E-10	0.0032029425809476358	0.007826500983725993
	1981024	1981248		+	yecF	b1915	putative regulator; Not classified	35	43	65	51	2.360183131739326E-5	1.0	0.0691433289813665	6.529920397765954E-17	4.838378701479798E-5	4.1559890915484027E-4
	1982038	1981316		-	sdiA	b1916	regulator; Cell division	32	43	44	35	3.830365549557551E-4	1.0	0.00792509992721321	4.789786674316068E-7	0.7769964753842595	2.387012892861978E-4
	1983020	1982268		-	yecC	b1917	putative transport; Not classified	84	71	67	81	1.291842784694337E-9	1.0	0.037551642937585575	5.138361724979088E-5	1.2032564768185968E-4	0.4545696861401845
1983685	1983685	1983017		-	yecS	b1918	putative transport; Not classified	87	75	79	71	2.1513576153926164E-9	1.0	4.107954354302176E-4	6.970139726224898E-7	0.11021605314673018	0.00613617666554144
	1984686	1983700		-	dcyD	b1919	putative enzyme; Not classified	101	97	92	98	1.356049471776354E-4	1.0	0.47142853926271916	0.001840777716163663	0.006567931014954484	0.7510370305507097
1985597	1985591	1984791	1984788	-	fliY	b1920	putative transport; Not classified	170	130	163	171	4.792763317603593E-12	1.0	0.6883179141807507	2.9807234484957515E-11	2.0042637184215383E-10	0.6463005754186368
	1986230	1985679		-	fliZ	b1921	structural component; Unknown	11	6	17	6	3.758357686497688E-12	1.0	5.152860192973482E-6	5.669879385394862E-27	0.37253539766654037	1.7396948678198837E-12
	1986995	1986276		-	fliA	b1922	factor; Surface structures	6	3	7	3	3.286220347426357E-15	1.0	1.4257609283376743E-5	3.352864479737681E-19	0.09748273106813678	1.062940432441336E-6
1988812	1988812	1987316		-	fliC	b1923	structural component; Surface structures	49	47	53	44	1.9684418064290404E-5	1.0	0.018659205677790686	2.6574879791075204E-7	0.1609464986288249	0.0026163375256990987
	1989078	1990484		+	fliD	b1924	putative structure; Surface structures	10	3	11	3	1.1004779613959532E-54	1.0	2.8661286154781673E-13	3.746766099645786E-73	0.0019828912275876793	2.2075816152143004E-17
	1990509	1990919		+	fliS	b1925	regulator; Surface structures	7	2	7	1	8.750911564522588E-37	1.0	2.629757868746709E-11	2.398030130494701E-34	0.4027342630808139	1.8747676770928808E-10
	1990919	1991284		+	fliT	b1926	regulator; Surface structures	8	2	8	2	1.1161652002496288E-53	1.0	5.286510953309912E-7	8.235326496604977E-47	0.001137137595914214	3.6799307130684484E-6
1991356	1991362	1992849	1992882	+	amyA	b1927	enzyme; Degradation of polysaccharides	133	170	186	218	0.872471718441128	0.002708394378941761	1.3294385495371148E-5	8.932405168035853E-7	2.81423474277605E-8	0.9920614078141741
	1993296	1992883		-	yedD	b1928	enzyme; Degradation of polysaccharides	121	112	139	135	2.0374712408695144E-8	1.0	0.10944588949234957	2.1521100865269606E-11	5.0658155382431875E-6	0.03992502512325574
	1993483	1994688		+	yedE	b1929	putative transport; Not classified	42	21	21	14	1.3298101002751722E-27	0.5855750028740938	4.602518759756005E-27	4.690903869873224E-6	0.20921567943593006	6.2212317908491185E-6
	1994685	1994918		+	yedF	b1930	putative transport; Not classified	50	27	20	22	3.8298813839188094E-21	0.44246466505463034	2.0472900790472594E-9	0.0017431774565942375	0.3621280164946775	0.04648278428908233
	1995027	1995695		+	yedK	b1931	putative transport; Not classified	18	14	21	16	6.341088993596095E-13	1.0	7.168320490933395E-4	5.459693641446936E-16	3.1404234363283535E-4	2.58154413719593E-4
