"control1"	"control2"	"control3"	"control4"	"control5"	"ckd1"	"ckd2"	"ckd3"	"ckd4"	"ckd5"	"aki1"	"aki2"	"aki3"	"aki5"
"hsa-miR-6793-3p"	51	47	21	109	70	52	29	438	278	86	61	58	9	47
"hsa-miR-6795-3p"	3	11	3	19	14	14	14	72	87	34	3	13	0	7
"hsa-miR-6798-3p"	23	14	7	50	26	25	25	178	46	45	16	11	7	29
"hsa-miR-6802-3p"	26	34	36	55	36	23	61	75	731	56	84	130	13	54
"hsa-miR-6803-3p"	140	102	73	185	118	119	110	729	856	220	304	301	77	242
"hsa-miR-6806-3p"	12	10	10	9	10	17	12	32	3309	15	7	11	4	20
"hsa-miR-6809-3p"	23	16	3	4	12	12	8	26	83	41	4	12	6	15
"hsa-miR-6810-3p"	56	54	47	122	106	89	73	226	496	191	91	87	42	101
"hsa-miR-6810-5p"	14	7	13	15	12	8	8	14	62	12	4	13	4	5
"hsa-miR-6812-3p"	8	5	7	11	13	13	12	44	116	31	32	30	17	17
"hsa-miR-6814-3p"	30	30	10	38	33	37	21	22	575	93	5	13	5	7
"hsa-miR-6819-3p"	11	18	12	60	22	29	22	112	326	64	68	56	9	28
"hsa-miR-6824-3p"	5	6	11	18	27	19	13	14	74	58	21	22	0	5
"hsa-miR-6827-3p"	33	30	12	45	31	51	17	100	818	81	19	53	8	28
"hsa-miR-6833-3p"	38	28	15	36	26	30	40	70	372	90	41	46	11	50
"hsa-miR-6836-3p"	4	12	4	10	14	10	36	96	23	20	49	12	5	34
"hsa-miR-6837-3p"	35	21	53	31	29	40	67	33	120	37	9	26	14	44
"hsa-miR-6842-3p"	113	173	333	204	162	234	396	172	1260	339	333	261	61	365
"hsa-miR-6843-3p"	11	10	4	24	8	17	22	24	1452	0	3	7	2	28
"hsa-miR-6852-5p"	23	26	49	64	27	16	66	17	282	41	62	36	19	41
"hsa-miR-6853-3p"	4	12	0	20	8	7	24	15	127	26	29	38	0	7
"hsa-miR-6855-3p"	7	9	9	12	8	12	18	27	106	23	33	37	2	21
"hsa-miR-6859-5p"	27	34	43	59	25	45	69	39	260	48	22	27	20	36
"hsa-miR-6866-5p"	10	17	7	6	14	15	41	29	199	26	7	2	0	19
"hsa-miR-6873-3p"	6	10	4	19	8	11	14	16	103	12	12	23	5	13
"hsa-miR-6875-5p"	5	17	3	10	7	16	3	13	58	15	8	16	0	20
"hsa-miR-6879-3p"	39	15	9	36	24	29	31	117	293	52	40	43	7	23
"hsa-miR-6882-5p"	10	0	0	2	2	4	11	14	28	12	0	0	2	2
"hsa-miR-6883-3p"	36	16	2	30	29	15	16	34	1274	39	13	12	2	14
"hsa-miR-6885-3p"	21	8	0	17	18	22	17	39	183	35	25	23	0	18
"hsa-miR-6894-3p"	79	35	46	137	35	53	57	305	416	177	113	145	26	92
"hsa-miR-6895-3p"	15	8	0	17	6	22	10	12	65	44	14	23	2	14
"hsa-miR-7-1-3p"	11	17	32	23	35	26	335	65	262	87	29	41	8	46
"hsa-miR-708-3p"	86	75	67	54	61	79	293	90	228	138	12	9	14	74
"hsa-miR-708-5p"	133	109	70	209	253	307	770	205	1089	563	50	68	29	146
"hsa-miR-7110-3p"	13	13	9	10	7	13	6	32	80	14	2	17	3	7
"hsa-miR-7111-3p"	15	5	4	12	14	11	3	21	71	45	15	10	6	12
"hsa-miR-7114-3p"	52	51	19	84	65	75	45	94	149	138	26	24	8	40
"hsa-miR-744-3p"	40	61	37	74	91	57	181	131	834	188	50	89	4	91
"hsa-miR-744-5p"	1604	1694	1402	3356	2800	2158	3607	5277	15037	3750	2598	5136	623	3395
"hsa-miR-758-3p"	8	10	11	34	10	6	62	29	555	28	17	49	0	20
"hsa-miR-760"	59	74	66	191	93	79	100	130	530	138	71	131	14	76
"hsa-miR-7641"	49	44	59	142	69	22	84	377	575	91	98	123	178	54
"hsa-miR-765"	17	3	9	25	12	14	15	16	129	26	12	8	0	16
"hsa-miR-766-3p"	115	126	257	385	135	126	526	694	1590	274	1218	1246	153	608
"hsa-miR-766-5p"	4	5	10	12	7	2	8	24	60	4	17	21	5	11
"hsa-miR-769-3p"	21	24	10	21	36	20	52	56	131	53	12	27	0	19
"hsa-miR-769-5p"	4163	3706	3879	4466	2472	3372	13739	5842	15288	6046	2022	2975	702	5295
"hsa-miR-7702"	2	4	287	105	0	0	6	15	23	0	469	515	60	40
"hsa-miR-7703"	3	11	36	28	15	5	16	17	52	22	33	43	6	27
"hsa-miR-7704"	273	300	68	371	257	314	302	1025	1040	339	517	259	186	222
"hsa-miR-7706"	502	450	1423	1069	472	480	1581	1389	5141	793	1966	1310	299	1111
"hsa-miR-7846-3p"	5	9	42	24	14	15	52	25	59	8	53	45	3	23
"hsa-miR-7854-3p"	5	3	11	14	5	10	22	18	38	14	23	8	0	14
"hsa-miR-873-3p"	44	17	42	18	26	55	21	26	204	109	60	11	4	25
"hsa-miR-873-5p"	14	8	29	11	4	11	30	0	40	32	19	0	2	28
"hsa-miR-874-3p"	282	261	248	422	299	621	951	330	3335	1101	443	952	48	359
"hsa-miR-874-5p"	96	122	65	111	75	211	327	69	1103	442	138	274	9	127
"hsa-miR-877-3p"	98	59	28	110	104	122	67	285	507	272	122	101	28	91
"hsa-miR-877-5p"	1436	1236	1036	3708	1487	1888	1763	6969	13663	2480	2061	3722	1044	4137
"hsa-miR-885-5p"	78	153	7	214	90	45	80	332	361	72	91	50	17	19
"hsa-miR-887-3p"	246	423	148	203	258	135	483	395	1040	162	136	398	41	384
"hsa-miR-887-5p"	11	20	6	35	18	19	17	40	219	22	18	59	0	16
"hsa-miR-888-5p"	6	3	0	4	18	16	14	4	107	32	0	0	0	2
"hsa-miR-889-3p"	27	8	34	27	10	12	270	24	282	50	3	7	2	42
"hsa-miR-891a-5p"	4365	2022	342	1045	2603	2126	1060	1153	10731	4068	12	169	106	212
"hsa-miR-892a"	93	57	19	32	90	53	38	17	348	132	4	4	2	0
"hsa-miR-9-5p"	355	324	275	605	823	230	1562	712	1582	369	6	79	2	181
"hsa-miR-92a-1-5p"	160	133	130	254	184	212	235	469	954	242	330	273	78	367
"hsa-miR-92a-3p"	1060647	903336	582075	1377124	893214	1000674	1048203	4273337	6900379	1270241	788679	776230	175359	1177161
"hsa-miR-92b-3p"	44792	40354	69769	209949	59470	59035	103699	673374	1037711	146845	204908	200193	38995	215104
"hsa-miR-92b-5p"	139	76	74	335	152	102	105	1352	854	185	171	192	52	219
"hsa-miR-93-3p"	117	165	159	306	156	254	354	487	3783	511	461	504	48	379
"hsa-miR-93-5p"	6711	6200	6251	8613	7915	10325	18028	11768	62598	16039	5505	5155	882	6888
"hsa-miR-935"	16	34	4	35	7	28	56	43	93	40	173	184	5	31
"hsa-miR-937-3p"	13	11	68	115	25	29	46	71	296	59	73	52	33	107
"hsa-miR-940"	32	61	60	78	59	85	196	83	614	115	79	132	14	97
"hsa-miR-941"	2048	3452	7561	9500	4210	4823	9913	11020	76215	13163	34206	24502	1516	6750
"hsa-miR-942-5p"	4	24	42	50	25	31	108	64	287	79	83	69	10	123
"hsa-miR-943"	11	18	9	19	16	31	29	52	304	64	16	26	2	23
"hsa-miR-95-3p"	111	83	67	124	100	148	777	108	1349	386	156	30	43	335
"hsa-miR-96-5p"	0	3	4	37	13	12	175	47	120	11	0	9	9	45
"hsa-miR-98-3p"	38	41	27	76	74	41	631	77	337	155	3	5	2	122
"hsa-miR-98-5p"	2323	1540	2900	2949	7267	3093	25024	3768	23322	7083	657	615	178	2506
"hsa-miR-99a-3p"	105	161	59	130	169	122	290	211	1229	297	19	82	2	76
"hsa-miR-99a-5p"	3043	6017	4085	11539	6944	6698	23981	8686	24507	15870	1918	5931	523	6820
"hsa-miR-99b-3p"	395	565	463	407	323	501	857	622	4511	679	329	593	45	409
"hsa-miR-99b-5p"	64958	77776	73049	144782	74793	116706	153796	347795	1136017	236728	120239	246286	17619	115228
